縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
基隆市,基隆,35,,良好,1.3,0.61,4.5,34,22,13,2,19.92,6.45,2016-05-22 07:00
基隆市,基隆,35,,良好,1.8,0.58,9.8,33,23,12,2,16.37,4.02,2016-05-22 08:00
基隆市,基隆,34,,良好,1.8,0.57,13,30,20,12,2,15.35,3.02,2016-05-22 09:00
基隆市,基隆,31,,良好,1.4,0.48,18,17,11,9.7,2,12.31,2.61,2016-05-22 10:00
基隆市,基隆,27,,良好,1.7,0.29,23,12,6,6.1,2,7.78,1.67,2016-05-22 11:00
基隆市,基隆,25,,良好,5.6,0.29,23,21,13,11,2,15.81,4.54,2016-05-22 12:00
基隆市,基隆,25,,良好,1.1,0.17,30,10,3,4.1,1,5.02,0.91,2016-05-22 14:00
基隆市,基隆,25,,良好,0.9,0.17,30,12,5,4.3,1,5.18,0.85,2016-05-22 15:00
基隆市,基隆,27,,良好,1,0.16,33,13,4,4.8,1,5.57,0.77,2016-05-22 16:00
基隆市,基隆,26,,良好,1,0.19,31,11,3,5.1,1,5.89,0.8,2016-05-22 17:00
基隆市,基隆,29,,良好,1,0.2,35,13,6,5.3,1,6.1,0.77,2016-05-22 18:00
基隆市,基隆,26,,良好,1.5,0.23,32,15,9,7.5,1,8.28,0.8,2016-05-22 19:00
基隆市,基隆,27,,良好,1.1,0.21,33,13,8,6.9,1,7.68,0.79,2016-05-22 20:00
基隆市,基隆,25,,良好,1.1,0.23,30,14,10,7.9,1,8.51,0.63,2016-05-22 21:00
基隆市,基隆,24,,良好,0.8,0.21,29,13,8,7.2,1,7.81,0.57,2016-05-22 22:00
基隆市,基隆,25,,良好,0.8,0.18,30,13,6,5.6,1,6.04,0.47,2016-05-22 23:00
基隆市,基隆,24,,良好,0.7,0.17,29,8,2,4.8,1,5.26,0.46,2016-05-23 00:00
基隆市,基隆,26,,良好,0.7,0.15,31,11,4,4.1,1,4.17,0.1,2016-05-23 01:00
基隆市,基隆,26,,良好,0.8,0.13,31,12,5,3.4,1,3.63,0.28,2016-05-23 02:00
基隆市,基隆,25,,良好,1,0.11,30,13,8,3.4,1,3.6,0.18,2016-05-23 03:00
基隆市,基隆,26,,良好,0.8,0.11,32,12,5,1.8,1,2.86,1.04,2016-05-23 04:00
基隆市,基隆,28,,良好,0.8,0.11,33,11,4,1.2,1,2.12,0.89,2016-05-23 05:00
基隆市,基隆,27,,良好,0.7,0.14,33,10,5,1.6,1,2.38,0.83,2016-05-23 06:00
基隆市,基隆,26,,良好,0.8,0.18,31,10,4,3.6,1,4.82,1.2,2016-05-23 07:00
基隆市,基隆,24,,良好,0.8,0.26,29,9,4,6.9,1,8.34,1.41,2016-05-23 08:00
基隆市,基隆,24,,良好,0.9,0.24,29,10,5,5.7,1,7.21,1.5,2016-05-23 09:00
基隆市,基隆,26,,良好,0.8,0.2,32,8,3,4.7,1,6.05,1.38,2016-05-23 10:00
基隆市,基隆,28,,良好,0.9,0.18,34,11,4,4.2,1,5.53,1.3,2016-05-23 11:00
基隆市,基隆,30,,良好,0.7,0.19,35,12,6,3.5,1,5,1.53,2016-05-23 12:00
基隆市,基隆,30,,良好,0.9,0.18,36,12,6,3,1,4.77,1.76,2016-05-23 13:00
基隆市,基隆,32,,良好,1.1,0.17,38,14,8,2.1,1,3.42,1.31,2016-05-23 14:00
基隆市,基隆,31,,良好,1,0.18,37,15,8,3.1,1,4.26,1.21,2016-05-23 15:00
基隆市,基隆,29,,良好,1.1,0.19,35,17,9,4.2,1,5.31,1.12,2016-05-23 16:00
基隆市,基隆,29,,良好,1.1,0.19,35,17,9,4.2,1,5.31,1.12,2016-05-23 16:00
基隆市,基隆,26,,良好,0.9,0.22,31,14,6,4.7,1,5.69,1.03,2016-05-23 17:00
基隆市,基隆,26,,良好,0.9,0.27,31,14,6,6.8,1,7.86,1.08,2016-05-23 18:00
基隆市,基隆,26,,良好,0.8,0.29,31,16,9,6.7,1,7.83,1.09,2016-05-23 19:00
基隆市,基隆,19,,良好,1,0.46,22,18,10,13,1,15.12,1.86,2016-05-23 20:00
基隆市,基隆,16,,良好,0.9,0.5,8.9,20,9,15,1,18.8,3.68,2016-05-23 22:00
基隆市,基隆,17,,良好,0.8,0.41,8.2,20,8,12,1,15.24,3.1,2016-05-23 23:00
基隆市,基隆,18,,良好,0.8,0.37,8.8,19,6,12,1,14.57,2.61,2016-05-24 00:00
基隆市,基隆,18,,良好,0.8,0.37,8.8,19,6,12,1,14.57,2.61,2016-05-24 00:00
基隆市,基隆,18,,良好,1.3,0.27,7.9,19,6,8.1,1,9.34,1.3,2016-05-24 02:00
基隆市,基隆,18,,良好,1.4,0.26,12,19,8,7.8,1,9.06,1.26,2016-05-24 03:00
基隆市,基隆,18,,良好,1.3,0.18,21,16,5,4.4,1,4.79,.44,2016-05-24 04:00
基隆市,基隆,21,,良好,1.4,0.14,25,14,6,3.9,1,4.25,.37,2016-05-24 05:00
基隆市,基隆,23,,良好,1.2,0.17,28,12,4,3.2,1,3.49,.33,2016-05-24 06:00
基隆市,基隆,22,,良好,1.2,0.2,26,11,8,4.9,1,5.35,.51,2016-05-24 07:00
基隆市,基隆,17,,良好,1.3,0.28,20,12,6,8.8,1,9.71,.96,2016-05-24 08:00
基隆市,基隆,17,,良好,1.3,0.24,20,13,5,8.9,1,10.45,1.55,2016-05-24 09:00
基隆市,基隆,20,,良好,1.2,0.17,25,12,6,6.9,1,8.05,1.12,2016-05-24 10:00
基隆市,基隆,22,,良好,1.3,0.16,27,14,10,5.9,1,6.64,.71,2016-05-24 11:00
基隆市,基隆,24,,良好,1.3,0.17,29,13,9,5.8,1,6.6,.79,2016-05-24 12:00
基隆市,基隆,24,,良好,1.2,0.15,28,15,8,5.4,1,6.18,.83,2016-05-24 13:00
基隆市,基隆,24,,良好,1.2,0.18,29,16,10,5.8,1,6.71,.86,2016-05-24 14:00
基隆市,基隆,28,,良好,1.4,0.19,34,22,14,5.4,1,6.13,.71,2016-05-24 15:00
基隆市,基隆,30,,良好,1.3,0.23,36,25,16,5.8,1,6.47,.72,2016-05-24 16:00
基隆市,基隆,31,,良好,1.4,0.28,37,30,20,8.3,2,9.03,.75,2016-05-24 17:00
基隆市,基隆,27,,良好,1.3,0.32,33,30,21,10,2,10.83,.69,2016-05-24 18:00
基隆市,基隆,27,,良好,1.4,0.28,32,26,18,8.8,2,9.63,.81,2016-05-24 19:00
基隆市,基隆,26,,良好,1.3,0.27,31,25,17,7.1,2,7.82,.68,2016-05-24 20:00
基隆市,基隆,26,,良好,1.3,0.23,31,22,14,6.7,2,7.29,.64,2016-05-24 21:00
基隆市,基隆,25,,良好,1.5,0.26,30,19,12,7.4,2,8.08,.65,2016-05-24 22:00
基隆市,基隆,24,,良好,1.3,0.24,29,12,4,6.6,2,6.96,.33,2016-05-24 23:00
基隆市,基隆,23,,良好,1.3,0.2,27,13,4,6,1,6.4,.36,2016-05-25 00:00
基隆市,基隆,18,,良好,1.4,0.25,16,17,5,7.2,1,7.87,.63,2016-05-25 01:00
基隆市,基隆,19,,良好,1,0.23,11,20,5,6.8,1,7.44,.68,2016-05-25 02:00
基隆市,基隆,20,,良好,1,0.24,10,21,8,6.8,1,7.43,.6,2016-05-25 03:00
基隆市,基隆,21,,良好,1.1,0.2,9.9,21,8,5.4,1,6.24,.86,2016-05-25 04:00
基隆市,基隆,21,,良好,1,0.19,8.7,23,9,5.2,1,6.3,1.13,2016-05-25 05:00
基隆市,基隆,21,,良好,1,0.27,6.8,23,10,7.6,1,12.11,4.51,2016-05-25 06:00
基隆市,基隆,21,,良好,1.4,0.57,3,24,12,15,1,31.67,16.54,2016-05-25 07:00
基隆市,基隆,21,,良好,1.5,0.34,22,19,10,8.6,1,10.57,2,2016-05-25 08:00
基隆市,基隆,21,,良好,1.8,0.25,25,17,10,6.7,1,8.13,1.45,2016-05-25 09:00
基隆市,基隆,22,,良好,1.4,0.21,26,17,10,6.9,1,8.58,1.69,2016-05-25 10:00
基隆市,基隆,23,,良好,1.4,0.24,28,17,9,7,1,8.77,1.74,2016-05-25 11:00
基隆市,基隆,24,,良好,1.1,0.26,29,16,10,6.7,1,8.36,1.64,2016-05-25 12:00
基隆市,基隆,26,,良好,1.1,0.2,31,16,9,4.9,1,6.12,1.24,2016-05-25 13:00
基隆市,基隆,27,,良好,1.1,0.21,32,17,9,4.6,1,6.13,1.49,2016-05-25 14:00
基隆市,基隆,29,,良好,1,0.18,35,18,10,3.6,1,4.6,1.05,2016-05-25 15:00
基隆市,基隆,27,,良好,1.6,0.2,32,16,10,5.4,1,6.52,1.11,2016-05-25 16:00
基隆市,基隆,26,,良好,1.1,0.23,31,18,11,5.7,1,6.93,1.27,2016-05-25 17:00
基隆市,基隆,25,,良好,1.1,0.28,30,30,19,7.1,2,8.37,1.3,2016-05-25 18:00
基隆市,基隆,20,,良好,1.2,0.35,23,19,12,11,2,12.07,1.23,2016-05-25 19:00
基隆市,基隆,22,,良好,1.2,0.66,6.1,29,14,19,2,26.94,8.27,2016-05-25 20:00
基隆市,基隆,23,,良好,1.3,0.66,5.2,28,13,17,2,25.27,8.27,2016-05-25 21:00
基隆市,基隆,24,,良好,1.2,0.66,5.4,29,13,17,2,24.94,8.34,2016-05-25 22:00
基隆市,基隆,25,,良好,1.2,0.56,5.1,29,12,15,2,18.51,3.96,2016-05-25 23:00
基隆市,基隆,26,,良好,1.2,0.39,9.2,30,14,10,2,13.06,2.84,2016-05-26 00:00
基隆市,基隆,27,,良好,1,0.26,8.7,30,14,7.4,2,8.99,1.61,2016-05-26 01:00
基隆市,基隆,27,,良好,1.1,0.26,7.3,29,12,7.1,2,8.61,1.53,2016-05-26 02:00
基隆市,基隆,28,,良好,1.4,0.28,3.8,31,13,8.2,2,9.75,1.6,2016-05-26 03:00
基隆市,基隆,29,,良好,2.1,0.27,4.5,31,14,11,2,12.1,1.24,2016-05-26 04:00
基隆市,基隆,32,,良好,8,0.2,7,42,22,15,2,16.79,2.06,2016-05-26 05:00
基隆市,基隆,33,,良好,3.1,0.3,5,39,22,13,2,16.78,4.04,2016-05-26 06:00
基隆市,基隆,34,,良好,5.1,0.42,7.3,35,20,15,2,24.9,9.62,2016-05-26 07:00
基隆市,基隆,35,,良好,12,0.44,15,34,21,18,2,30.49,12.76,2016-05-26 08:00
基隆市,基隆,35,,良好,39,0.41,9.6,42,29,35,2,70.49,35.29,2016-05-26 09:00
基隆市,基隆,37,,良好,24,0.28,22,43,28,26,2,43.36,17.25,2016-05-26 10:00
基隆市,基隆,39,,良好,7.7,0.26,46,32,21,9.8,2,12.74,2.95,2016-05-26 11:00
基隆市,基隆,50,,良好,4.9,0.26,60,27,21,5.8,2,6.82,1.07,2016-05-26 12:00
基隆市,基隆,51,臭氧,普通,8.1,0.24,61,29,22,6,2,7.2,1.24,2016-05-26 13:00
基隆市,基隆,50,,良好,7.7,0.23,60,32,24,5.4,2,6.32,.95,2016-05-26 14:00
基隆市,基隆,42,,良好,7.5,0.2,51,35,23,9.3,2,10.67,1.41,2016-05-26 15:00
基隆市,基隆,34,,良好,9,0.19,41,28,20,10,2,11.86,1.55,2016-05-26 16:00
基隆市,基隆,32,,良好,10,0.22,28,25,16,14,2,15.3,1.54,2016-05-26 17:00
基隆市,基隆,31,,良好,12,0.3,14,27,21,24,2,26.12,1.84,2016-05-26 18:00
基隆市,基隆,30,,良好,3.8,0.6,12,31,20,22,2,25.95,3.83,2016-05-26 19:00
基隆市,基隆,31,,良好,3.2,0.63,2.3,36,22,26,2,36.58,10.98,2016-05-26 20:00
基隆市,基隆,32,,良好,2.5,0.68,2.3,35,21,24,2,34.06,10.4,2016-05-26 21:00
基隆市,基隆,33,,良好,2.1,0.81,0.8,36,21,21,2,36.92,15.73,2016-05-26 22:00
基隆市,基隆,34,,良好,2.2,0.85,0.8,36,19,20,2,34.92,14.59,2016-05-26 23:00
基隆市,基隆,34,,良好,2.1,0.56,1.1,34,18,19,2,25.93,7.33,2016-05-27 00:00
基隆市,基隆,33,,良好,1.7,0.47,1.1,32,15,16,2,21.6,5.91,2016-05-27 01:00
基隆市,基隆,33,,良好,1.6,0.49,2.8,31,16,17,2,20.48,3.93,2016-05-27 02:00
基隆市,基隆,31,,良好,1.9,0.43,3.8,28,13,15,2,17.22,2.27,2016-05-27 03:00
基隆市,基隆,31,,良好,1.7,0.44,2.9,29,14,15,2,16.51,2.01,2016-05-27 04:00
