縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
宜蘭縣,冬山,28,,良好,1.9,0.34,13,23,10,5.3,2,7.39,2.1,2016-05-22 07:00
宜蘭縣,宜蘭,36,,良好,2.2,0.31,11,34,13,5.4,2,6.95,1.59,2016-05-22 07:00
宜蘭縣,冬山,27,,良好,2.1,0.31,14,22,10,5.5,2,9.36,3.89,2016-05-22 08:00
宜蘭縣,宜蘭,35,,良好,3.2,0.39,16,33,14,6.5,2,8.71,2.19,2016-05-22 08:00
宜蘭縣,冬山,26,,良好,2.2,0.31,20,26,8,5.9,1,9.34,3.4,2016-05-22 09:00
宜蘭縣,宜蘭,35,,良好,2.9,0.4,19,35,14,6.7,2,8.79,2.14,2016-05-22 09:00
宜蘭縣,冬山,27,,良好,2.7,0.31,25,31,12,5.9,1,9.11,3.25,2016-05-22 10:00
宜蘭縣,宜蘭,35,,良好,3.4,0.44,25,37,17,7.7,2,9.8,2.13,2016-05-22 10:00
宜蘭縣,冬山,28,,良好,3.1,0.35,27,30,15,9.2,2,13.64,4.41,2016-05-22 11:00
宜蘭縣,宜蘭,35,,良好,3.4,0.41,28,35,20,7.7,2,9.54,1.85,2016-05-22 11:00
宜蘭縣,冬山,28,,良好,4.1,0.39,33,31,20,11,2,16.01,4.83,2016-05-22 12:00
宜蘭縣,宜蘭,35,,良好,3.7,0.35,33,33,17,5.9,2,7.66,1.8,2016-05-22 12:00
宜蘭縣,冬山,28,,良好,5,0.18,24,22,21,10,2,13.56,3.55,2016-05-22 14:00
宜蘭縣,宜蘭,33,,良好,3.3,0.3,37,31,16,5.9,2,7.46,1.58,2016-05-22 14:00
宜蘭縣,宜蘭,31,,良好,2.1,0.21,28,23,10,6.1,2,7.23,1.13,2016-05-22 15:00
宜蘭縣,冬山,28,,良好,5,0.18,24,22,21,10,2,13.56,3.55,2016-05-22 14:00
宜蘭縣,冬山,27,,良好,5.6,0.33,13,29,3,19,2,29.52,10.4,2016-05-22 16:00
宜蘭縣,宜蘭,28,,良好,1.8,0.22,27,16,6,4.8,2,6.04,1.27,2016-05-22 16:00
宜蘭縣,冬山,24,,良好,2.8,0.17,23,19,7,3.7,2,5.18,1.48,2016-05-22 17:00
宜蘭縣,宜蘭,26,,良好,1.8,0.26,28,16,6,5.1,2,6.32,1.23,2016-05-22 17:00
宜蘭縣,冬山,21,,良好,2.7,0.2,22,9,,7,1,8.65,1.64,2016-05-22 18:00
宜蘭縣,宜蘭,23,,良好,1.9,0.27,27,17,7,6.2,1,7.33,1.16,2016-05-22 18:00
宜蘭縣,冬山,22,,良好,1.9,0.2,26,10,11,4.3,1,5.59,1.27,2016-05-22 19:00
宜蘭縣,宜蘭,22,,良好,2,0.29,24,18,8,7.9,1,8.85,0.97,2016-05-22 19:00
宜蘭縣,冬山,18,,良好,1.8,0.21,16,16,10,6.9,1,7.99,1.1,2016-05-22 20:00
宜蘭縣,宜蘭,22,,良好,2.7,0.38,19,21,9,12,1,13.6,1.64,2016-05-22 20:00
宜蘭縣,冬山,17,,良好,1.7,0.21,17,19,12,6.3,2,7.52,1.21,2016-05-22 21:00
宜蘭縣,宜蘭,22,,良好,2.3,0.38,20,23,7,11,1,12.45,1.57,2016-05-22 21:00
宜蘭縣,冬山,19,,良好,1.7,0.23,16,21,8,6.5,2,8.04,1.5,2016-05-22 22:00
宜蘭縣,宜蘭,22,,良好,2,0.33,11,22,7,10,1,11.45,1.43,2016-05-22 22:00
宜蘭縣,冬山,20,,良好,1.7,0.2,14,21,6,4.4,1,5.94,1.5,2016-05-22 23:00
宜蘭縣,宜蘭,23,,良好,1.9,0.33,4.4,24,6,11,1,12.59,1.72,2016-05-22 23:00
宜蘭縣,冬山,20,,良好,1.5,0.18,16,22,11,3.4,1,4.5,1.13,2016-05-23 00:00
宜蘭縣,宜蘭,23,,良好,2.2,0.3,3.8,25,8,9.6,1,12.24,2.63,2016-05-23 00:00
宜蘭縣,冬山,19,,良好,1.2,0.15,18,17,10,3.1,1,4.2,1.07,2016-05-23 01:00
宜蘭縣,宜蘭,23,,良好,3,0.22,6.2,27,11,7.4,1,8.64,1.25,2016-05-23 01:00
宜蘭縣,冬山,18,,良好,1.4,0.14,20,12,5,2.4,1,3.44,1.05,2016-05-23 02:00
宜蘭縣,宜蘭,24,,良好,1.9,0.24,5.5,27,8,7.7,1,9.3,1.57,2016-05-23 02:00
宜蘭縣,冬山,17,,良好,1.4,0.16,11,15,9,6.5,1,8.13,1.6,2016-05-23 03:00
宜蘭縣,宜蘭,24,,良好,1.4,0.16,7.2,24,6,5,1,6.19,1.2,2016-05-23 03:00
宜蘭縣,冬山,16,,良好,1.6,0.17,14,17,9,4.5,1,5.37,0.85,2016-05-23 04:00
宜蘭縣,宜蘭,24,,良好,1.4,0.14,10,24,6,4.1,1,4.88,0.83,2016-05-23 04:00
宜蘭縣,冬山,16,,良好,1.6,0.18,12,17,4,4.3,1,5.39,1.06,2016-05-23 05:00
宜蘭縣,宜蘭,24,,良好,1.6,0.14,7.3,25,7,5.3,1,6.17,0.89,2016-05-23 05:00
宜蘭縣,冬山,17,,良好,1.5,0.19,11,17,6,4.7,1,6.06,1.4,2016-05-23 06:00
宜蘭縣,宜蘭,24,,良好,1.6,0.17,6.9,23,7,5.3,1,6.39,1.13,2016-05-23 06:00
宜蘭縣,冬山,18,,良好,1.7,0.29,9.1,20,10,7.1,1,13.33,6.2,2016-05-23 07:00
宜蘭縣,宜蘭,24,,良好,1.8,0.23,7.8,24,7,6,1,8.55,2.56,2016-05-23 07:00
宜蘭縣,冬山,19,,良好,1.8,0.29,14,22,3,7.1,1,13.7,6.61,2016-05-23 08:00
宜蘭縣,宜蘭,24,,良好,1.9,0.36,11,25,8,7.2,1,10.34,3.18,2016-05-23 08:00
宜蘭縣,冬山,20,,良好,,,,25,4,,1,,,2016-05-23 09:00
宜蘭縣,宜蘭,25,,良好,1.9,0.43,19,26,8,9,1,12.06,3.06,2016-05-23 09:00
宜蘭縣,冬山,20,,良好,2.8,0.21,24,19,11,8.5,1,11.68,3.14,2016-05-23 10:00
宜蘭縣,宜蘭,25,,良好,1.5,0.26,28,26,10,5.3,1,7.47,2.19,2016-05-23 10:00
宜蘭縣,冬山,19,,良好,3.7,0.19,23,13,11,11,1,16.92,5.54,2016-05-23 11:00
宜蘭縣,宜蘭,29,,良好,1.5,0.19,35,23,10,3.1,1,4.75,1.62,2016-05-23 11:00
宜蘭縣,冬山,22,,良好,3.1,0.23,27,19,10,12,1,18.08,6.33,2016-05-23 12:00
宜蘭縣,宜蘭,30,,良好,1.5,0.21,36,21,7,3.5,1,4.73,1.28,2016-05-23 12:00
