縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
桃園市,中壢,64,懸浮微粒,普通,9.6,1.73,4.2,64,34,25,4,62.69,37.68,2016-05-22 07:00
桃園市,龍潭,54,懸浮微粒,普通,2.3,0.53,3.2,39,26,12,3,22.14,10.22,2016-05-22 07:00
桃園市,平鎮,60,懸浮微粒,普通,9.9,0.63,8.4,62,39,21,4,24.55,3.94,2016-05-22 07:00
桃園市,觀音,46,,良好,4.9,0.73,5.2,47,39,28,3,33.41,5.74,2016-05-22 07:00
桃園市,大園,52,懸浮微粒,普通,4.8,0.89,5.4,73,39,33,3,52.04,18.89,2016-05-22 07:00
桃園市,桃園,49,,良好,17,0.79,5.7,48,36,20,4,27.56,7.42,2016-05-22 07:00
桃園市,中壢,63,懸浮微粒,普通,7.8,2.14,5.6,67,32,25,3,68.45,43.92,2016-05-22 08:00
桃園市,龍潭,52,懸浮微粒,普通,2.1,0.56,8.8,44,26,10,3,19.21,8.89,2016-05-22 08:00
桃園市,平鎮,58,懸浮微粒,普通,7.6,0.56,14,56,35,17,4,23.34,6.7,2016-05-22 08:00
桃園市,觀音,47,,良好,5.5,0.63,19,51,35,22,4,26.36,4.82,2016-05-22 08:00
桃園市,大園,54,懸浮微粒,普通,3.7,0.62,16,74,42,21,3,28.7,8.08,2016-05-22 08:00
桃園市,桃園,49,,良好,6.1,0.61,16,43,28,15,3,19.49,4.51,2016-05-22 08:00
桃園市,中壢,62,懸浮微粒,普通,8.8,2.15,7,72,28,27,3,65.39,38.36,2016-05-22 09:00
桃園市,龍潭,50,,良好,1.9,0.64,11,41,22,12,3,18.93,6.88,2016-05-22 09:00
桃園市,平鎮,57,懸浮微粒,普通,8.5,0.56,18,48,29,15,4,19.17,3.86,2016-05-22 09:00
桃園市,觀音,50,,良好,6.3,0.58,20,58,42,16,4,18.9,2.7,2016-05-22 09:00
桃園市,大園,56,懸浮微粒,普通,3.2,0.59,15,64,40,26,3,35.14,9.36,2016-05-22 09:00
桃園市,桃園,48,,良好,11,0.62,15,38,18,16,3,19.72,3.59,2016-05-22 09:00
桃園市,中壢,61,懸浮微粒,普通,9.1,2.69,6.2,66,28,33,3,83.72,50.62,2016-05-22 10:00
桃園市,龍潭,50,,良好,2.4,0.65,14,52,20,14,3,19.65,5.76,2016-05-22 10:00
桃園市,平鎮,56,懸浮微粒,普通,8.7,0.62,17,45,23,18,3,22.62,4.16,2016-05-22 10:00
桃園市,觀音,51,懸浮微粒,普通,6.7,0.65,16,59,46,25,4,29.64,4.79,2016-05-22 10:00
桃園市,大園,55,懸浮微粒,普通,3.2,0.52,14,53,33,27,3,36.24,9.51,2016-05-22 10:00
桃園市,桃園,46,,良好,14,0.66,12,42,21,21,3,26.23,5.16,2016-05-22 10:00
桃園市,中壢,61,懸浮微粒,普通,11,2.13,6.7,66,25,33,3,74.93,42.22,2016-05-22 11:00
桃園市,龍潭,50,,良好,2.6,0.8,14,45,28,18,3,24.8,6.75,2016-05-22 11:00
桃園市,平鎮,54,懸浮微粒,普通,10,0.72,17,45,23,21,3,26.35,4.96,2016-05-22 11:00
桃園市,觀音,52,懸浮微粒,普通,5.8,0.58,13,61,50,26,4,30.38,4.86,2016-05-22 11:00
桃園市,大園,53,懸浮微粒,普通,5.4,0.5,12,41,23,30,3,41.52,11.43,2016-05-22 11:00
桃園市,桃園,45,,良好,8.2,0.7,18,42,24,19,3,23.39,4.22,2016-05-22 11:00
桃園市,中壢,60,懸浮微粒,普通,9.7,1.92,7.3,66,25,33,3,66.86,33.75,2016-05-22 12:00
桃園市,龍潭,48,,良好,3.6,0.87,13,42,24,22,3,30.07,8.1,2016-05-22 12:00
桃園市,平鎮,53,懸浮微粒,普通,9.8,0.75,15,51,29,25,3,31.45,6.6,2016-05-22 12:00
桃園市,觀音,53,懸浮微粒,普通,4.8,0.54,22,57,43,20,5,24.69,4.54,2016-05-22 12:00
桃園市,大園,51,懸浮微粒,普通,5.2,0.58,18,47,24,25,3,34.11,9.27,2016-05-22 12:00
桃園市,桃園,44,,良好,5.4,0.92,18,45,27,24,3,29.03,4.83,2016-05-22 12:00
桃園市,中壢,60,懸浮微粒,普通,6.3,1.15,14,67,31,35,3,48.76,14.07,2016-05-22 14:00
桃園市,龍潭,48,,良好,5.9,0.77,25,54,26,22,3,27.1,5.26,2016-05-22 14:00
桃園市,平鎮,52,懸浮微粒,普通,6.5,0.54,26,55,30,22,3,25.55,3.87,2016-05-22 14:00
桃園市,觀音,50,,良好,5.4,0.27,25,41,27,15,4,16.9,1.7,2016-05-22 14:00
桃園市,大園,48,,良好,4.4,0.22,25,39,20,8.3,3,10.09,1.76,2016-05-22 14:00
桃園市,桃園,43,,良好,5.3,0.57,28,37,22,19,3,22.75,3.98,2016-05-22 14:00
桃園市,中壢,59,懸浮微粒,普通,3.9,0.84,13,57,31,25,3,39.44,14.34,2016-05-22 15:00
桃園市,龍潭,50,,良好,5.1,0.89,20,66,37,28,3,31.4,3.02,2016-05-22 15:00
