縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
澎湖縣,馬公,12,,良好,3.3,0.27,10,13,4,12,1,18.4,5.93,2016-05-22 07:00
澎湖縣,馬公,12,,良好,3.5,0.32,13,18,11,12,1,19.62,7.29,2016-05-22 08:00
澎湖縣,馬公,14,,良好,3.9,0.36,17,18,12,12,1,18.19,6.37,2016-05-22 09:00
澎湖縣,馬公,16,,良好,3.3,0.31,19,11,4,11,1,15.05,4.46,2016-05-22 10:00
澎湖縣,馬公,19,,良好,3.1,0.28,22,9,1,9.9,1,13.61,3.71,2016-05-22 11:00
澎湖縣,馬公,18,,良好,5.5,0.24,21,12,4,12,1,18.67,6.22,2016-05-22 12:00
澎湖縣,馬公,18,,良好,9.4,0.24,22,21,9,12,1,19.31,7.3,2016-05-22 14:00
澎湖縣,馬公,20,,良好,5.9,0.25,24,22,11,13,1,19.24,6.67,2016-05-22 15:00
澎湖縣,馬公,20,,良好,4.5,0.24,25,16,7,8.8,1,14.31,5.56,2016-05-22 16:00
澎湖縣,馬公,20,,良好,1.5,0.3,25,21,9,9.7,1,14.17,4.44,2016-05-22 17:00
澎湖縣,馬公,20,,良好,1.4,0.29,24,21,10,7.8,1,11.64,3.8,2016-05-22 18:00
澎湖縣,馬公,21,,良好,1.7,0.31,25,9,7,8.2,1,10.97,2.78,2016-05-22 19:00
澎湖縣,馬公,23,,良好,1.9,0.33,27,3,4,9.6,1,11.89,2.28,2016-05-22 20:00
澎湖縣,馬公,26,,良好,1.8,0.37,31,9,2,7.6,1,9.7,2.12,2016-05-22 21:00
澎湖縣,馬公,29,,良好,1.9,0.36,35,13,9,8.1,1,10.26,2.2,2016-05-22 22:00
澎湖縣,馬公,28,,良好,1.8,0.34,34,14,10,10,1,12.14,2.07,2016-05-22 23:00
澎湖縣,馬公,27,,良好,1.9,0.33,33,13,9,7.8,1,9.81,2.01,2016-05-23 00:00
澎湖縣,馬公,25,,良好,1.5,0.24,30,9,11,5.1,1,7.41,2.34,2016-05-23 01:00
澎湖縣,馬公,22,,良好,0.9,0.17,26,10,4,4,1,6.24,2.29,2016-05-23 02:00
澎湖縣,馬公,21,,良好,1.5,0.14,25,11,0,2.8,1,5.07,2.32,2016-05-23 03:00
澎湖縣,馬公,21,,良好,1.4,0.13,26,4,3,3.3,1,5.18,1.86,2016-05-23 04:00
澎湖縣,馬公,19,,良好,1.7,0.2,23,1,1,3.6,1,5.56,1.93,2016-05-23 05:00
澎湖縣,馬公,20,,良好,1.4,0.18,25,6,4,2.9,1,4.8,1.95,2016-05-23 06:00
澎湖縣,馬公,29,,良好,1.6,0.22,34,6,6,3.2,1,5.6,2.39,2016-05-23 07:00
澎湖縣,馬公,33,,良好,1.8,0.33,39,12,6,5,1,7.53,2.54,2016-05-23 08:00
澎湖縣,馬公,30,,良好,1.8,0.36,36,15,9,6,1,9.05,3.02,2016-05-23 09:00
澎湖縣,馬公,32,,良好,1.9,0.27,38,14,8,4.8,1,7.2,2.4,2016-05-23 10:00
澎湖縣,馬公,25,,良好,2.1,0.27,30,9,7,6.7,1,9.32,2.67,2016-05-23 11:00
澎湖縣,馬公,24,,良好,1.9,0.3,29,3,6,10,1,14.52,4.12,2016-05-23 12:00
澎湖縣,馬公,18,,良好,1.7,0.31,22,4,9,12,1,16.72,4.99,2016-05-23 13:00
澎湖縣,馬公,22,,良好,3.6,0.25,27,9,7,9.7,1,14.79,5.1,2016-05-23 14:00
澎湖縣,馬公,21,,良好,5.6,0.27,25,11,4,10,1,15.64,5.25,2016-05-23 15:00
澎湖縣,馬公,21,,良好,1.4,0.24,25,5,1,7,1,10.73,3.74,2016-05-23 16:00
澎湖縣,馬公,21,,良好,1.4,0.24,25,5,1,7,1,10.73,3.74,2016-05-23 16:00
澎湖縣,馬公,16,,良好,4.4,0.3,19,5,3,12,1,17.98,6.08,2016-05-23 17:00
澎湖縣,馬公,17,,良好,1.7,0.39,20,12,5,10,1,14.56,4.08,2016-05-23 18:00
澎湖縣,馬公,20,,良好,1.5,0.36,24,11,4,9.1,1,12.38,3.27,2016-05-23 19:00
澎湖縣,馬公,20,,良好,2.1,0.35,24,8,3,9.2,1,11.93,2.69,2016-05-23 20:00
澎湖縣,馬公,29,,良好,1.6,0.32,35,6,9,5.1,1,7.27,2.16,2016-05-23 22:00
澎湖縣,馬公,29,,良好,1.4,0.23,35,3,7,2.8,1,4.88,2.1,2016-05-23 23:00
澎湖縣,馬公,27,,良好,1.6,0.2,32,2,6,2.8,1,4.44,1.66,2016-05-24 00:00
澎湖縣,馬公,27,,良好,1.6,0.2,32,2,6,2.8,1,4.44,1.66,2016-05-24 00:00
澎湖縣,馬公,28,,良好,0.7,0.15,34,,4,1.2,1,3.21,2.03,2016-05-24 02:00
澎湖縣,馬公,0,,,0.5,0.15,35,,0,0.9,1,3.12,2.18,2016-05-24 03:00
澎湖縣,馬公,0,,,0.5,0.15,35,,0,0.9,1,3.12,2.18,2016-05-24 03:00
澎湖縣,馬公,0,,,0.5,0.15,35,,0,0.9,,3.12,2.18,2016-05-24 03:00
澎湖縣,馬公,0,,,0.5,0.15,35,,0,0.9,,3.12,2.18,2016-05-24 03:00
澎湖縣,馬公,0,,,0.5,0.15,35,,0,0.9,,3.12,2.18,2016-05-24 03:00
澎湖縣,馬公,0,,,0.5,0.15,35,,0,0.9,,3.12,2.18,2016-05-24 03:00
澎湖縣,馬公,0,,,,,,18,19,,,,,2016-05-24 09:00
澎湖縣,馬公,0,,,0.6,0.21,40,18,11,3,,5.22,2.2,2016-05-24 10:00
澎湖縣,馬公,0,,,0.7,0.19,41,13,6,2.6,,5.03,2.43,2016-05-24 11:00
澎湖縣,馬公,0,,,,,41,10,4,2.6,,4.57,1.97,2016-05-24 12:00
澎湖縣,馬公,0,,,,,45,14,10,2.2,,4.08,1.89,2016-05-24 13:00
澎湖縣,馬公,0,,,1.4,0.22,49,26,19,2.3,,4.31,2,2016-05-24 14:00
澎湖縣,馬公,0,,,1.7,0.21,50,30,19,2.3,,4.45,2.18,2016-05-24 15:00
澎湖縣,馬公,38,,良好,1.7,0.21,46,21,13,2.2,2,4.21,1.97,2016-05-24 16:00
澎湖縣,馬公,35,,良好,1.6,0.22,42,16,11,3.7,2,5.96,2.22,2016-05-24 17:00
澎湖縣,馬公,34,,良好,1.6,0.31,41,16,12,3.9,2,6.25,2.4,2016-05-24 18:00
澎湖縣,馬公,32,,良好,1.8,0.26,39,12,13,4,2,6.43,2.42,2016-05-24 19:00
澎湖縣,馬公,30,,良好,1.7,0.26,36,11,11,3.5,2,5.78,2.26,2016-05-24 20:00
澎湖縣,馬公,28,,良好,1.7,0.25,33,15,11,4.3,2,6.56,2.26,2016-05-24 21:00
澎湖縣,馬公,27,,良好,1.6,0.25,33,9,10,3,1,5.25,2.29,2016-05-24 22:00
澎湖縣,馬公,26,,良好,1.7,0.21,31,7,10,2.7,1,4.74,2.01,2016-05-24 23:00
澎湖縣,馬公,25,,良好,1.6,0.19,30,17,9,2.2,1,4.25,2.07,2016-05-25 00:00
澎湖縣,馬公,28,,良好,1.6,0.17,33,20,9,1.7,1,4.12,2.43,2016-05-25 01:00
澎湖縣,馬公,32,,良好,1.6,0.17,38,12,9,1.5,1,4.07,2.56,2016-05-25 02:00
澎湖縣,馬公,30,,良好,1.3,0.18,36,10,10,1.2,1,3.69,2.46,2016-05-25 03:00
澎湖縣,馬公,29,,良好,1.3,0.17,35,11,9,1.1,1,3.23,2.13,2016-05-25 04:00
澎湖縣,馬公,27,,良好,1.5,0.11,33,15,9,1.5,1,3.91,2.42,2016-05-25 05:00
澎湖縣,馬公,31,,良好,1.9,0.14,37,20,14,1.8,1,4.28,2.53,2016-05-25 06:00
澎湖縣,馬公,35,,良好,2.1,0.22,43,30,21,2.8,2,5.41,2.61,2016-05-25 07:00
澎湖縣,馬公,36,,良好,2,0.28,43,35,23,3.8,2,6.44,2.65,2016-05-25 08:00
澎湖縣,馬公,37,,良好,2.1,0.27,45,36,23,,2,,,2016-05-25 09:00
澎湖縣,馬公,27,,良好,,,,35,21,,2,,,2016-05-25 10:00
澎湖縣,馬公,40,,良好,1.7,0.24,47,34,26,,2,,,2016-05-25 11:00
澎湖縣,馬公,41,,良好,1.9,0.21,49,34,26,3.2,2,4.39,1.24,2016-05-25 12:00
澎湖縣,馬公,40,,良好,1.9,0.24,48,30,20,3.3,2,4.73,1.48,2016-05-25 13:00
澎湖縣,馬公,42,,良好,1.8,0.21,50,26,20,3.6,2,5.2,1.6,2016-05-25 14:00
澎湖縣,馬公,44,,良好,1.6,0.21,53,29,24,3.2,2,4.66,1.51,2016-05-25 15:00
澎湖縣,馬公,48,,良好,1.7,0.28,57,39,25,3.6,2,5.08,1.5,2016-05-25 16:00
澎湖縣,馬公,47,,良好,1.5,0.33,57,47,26,5.7,2,7.24,1.54,2016-05-25 17:00
澎湖縣,馬公,49,,良好,1.4,0.39,59,50,26,5.4,3,6.71,1.3,2016-05-25 18:00
澎湖縣,馬公,44,,良好,1.6,0.34,53,44,25,5,3,6.56,1.56,2016-05-25 19:00
澎湖縣,馬公,41,,良好,1.8,0.33,49,36,26,4.2,3,5.52,1.32,2016-05-25 20:00
澎湖縣,馬公,40,,良好,1.7,0.32,49,35,27,4.5,3,5.68,1.2,2016-05-25 21:00
澎湖縣,馬公,38,,良好,2.4,0.36,46,41,24,6.2,3,7.5,1.27,2016-05-25 22:00
澎湖縣,馬公,39,,良好,2.4,0.35,47,43,23,5.9,3,7.21,1.31,2016-05-25 23:00
澎湖縣,馬公,39,,良好,2.2,0.29,47,36,25,4.8,3,6.09,1.26,2016-05-26 00:00
澎湖縣,馬公,39,,良好,2.1,0.26,45,35,26,4.2,3,5.31,1.12,2016-05-26 01:00
澎湖縣,馬公,38,,良好,1.6,0.22,43,35,25,3.9,3,5.09,1.16,2016-05-26 02:00
澎湖縣,馬公,37,,良好,3.1,0.2,35,31,25,5.4,3,6.92,1.53,2016-05-26 03:00
澎湖縣,馬公,35,,良好,1.8,0.26,36,26,21,4.6,3,5.76,1.21,2016-05-26 04:00
澎湖縣,馬公,33,,良好,1.2,0.24,35,25,19,4.3,2,5.5,1.17,2016-05-26 05:00
澎湖縣,馬公,30,,良好,1.2,0.29,33,23,18,4.1,2,5.36,1.23,2016-05-26 06:00
澎湖縣,馬公,28,,良好,1.2,0.3,31,21,14,4.7,2,6.37,1.66,2016-05-26 07:00
澎湖縣,馬公,27,,良好,3.2,0.44,30,22,15,8.6,2,11.62,3.06,2016-05-26 08:00
澎湖縣,馬公,28,,良好,4.1,0.36,33,26,15,7.6,2,10.75,3.17,2016-05-26 09:00
澎湖縣,馬公,30,,良好,3.8,0.38,36,28,23,8.1,2,10.43,2.32,2016-05-26 10:00
澎湖縣,馬公,35,,良好,3.7,0.33,42,25,23,8.2,2,10.89,2.66,2016-05-26 11:00
澎湖縣,馬公,43,,良好,4.2,0.31,52,30,18,7.4,2,9.5,2.07,2016-05-26 12:00
澎湖縣,馬公,42,,良好,3.3,0.32,50,30,19,8.6,2,11.07,2.5,2016-05-26 13:00
澎湖縣,馬公,37,,良好,3.8,0.24,45,17,10,7.1,2,9.31,2.22,2016-05-26 14:00
澎湖縣,馬公,32,,良好,1.9,0.18,38,9,5,4.5,2,6.69,2.21,2016-05-26 15:00
澎湖縣,馬公,27,,良好,2.7,0.2,32,4,2,5.7,2,8.5,2.79,2016-05-26 16:00
澎湖縣,馬公,36,,良好,2.1,0.24,43,13,4,4.7,1,6.72,1.98,2016-05-26 17:00
澎湖縣,馬公,33,,良好,2,0.38,40,25,18,5.9,1,7.77,1.86,2016-05-26 18:00
澎湖縣,馬公,32,,良好,1.7,0.37,38,26,19,6.9,2,8.81,1.93,2016-05-26 19:00
澎湖縣,馬公,31,,良好,1.5,0.34,37,26,18,8.1,2,10.15,2.03,2016-05-26 20:00
澎湖縣,馬公,29,,良好,2.4,0.42,34,25,18,10,2,11.98,1.96,2016-05-26 21:00
澎湖縣,馬公,28,,良好,2.2,0.45,34,26,23,11,2,13.4,2.31,2016-05-26 22:00
澎湖縣,馬公,30,,良好,3,0.4,36,25,26,8.8,2,10.18,1.39,2016-05-26 23:00
澎湖縣,馬公,29,,良好,2.8,0.34,35,28,26,7.9,2,9.13,1.25,2016-05-27 00:00
澎湖縣,馬公,30,,良好,1.9,0.26,35,30,25,6.3,2,7.5,1.25,2016-05-27 01:00
澎湖縣,馬公,30,,良好,2.3,0.21,36,26,20,3.8,2,5.03,1.19,2016-05-27 02:00
