縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
臺北市,大同,52,懸浮微粒,普通,3.9,1.38,,49,13,22,2,73.24,51.57,2016-05-22 07:00
臺北市,松山,44,,良好,2,0.51,9.2,26,21,13,3,16.67,3.42,2016-05-22 07:00
臺北市,古亭,37,,良好,1.7,0.6,4.9,34,18,13,2,27.79,15.25,2016-05-22 07:00
臺北市,萬華,44,,良好,1.1,0.52,5.8,30,14,15,2,20.82,6.23,2016-05-22 07:00
臺北市,中山,49,,良好,2.3,0.66,6.9,35,25,19,3,25.36,6.7,2016-05-22 07:00
臺北市,士林,34,,良好,3.4,0.57,9.1,30,21,16,,20.81,4.32,2016-05-22 07:00
臺北市,陽明,16,,良好,1.8,0.19,29,17,11,1.4,1,1.82,0.45,2016-05-22 06:00
臺北市,陽明,27,,良好,1.6,0.17,32,16,10,1.7,1,2.07,0.39,2016-05-22 08:00
臺北市,大同,52,懸浮微粒,普通,5.3,1.64,,50,21,30,2,74.03,44.33,2016-05-22 08:00
臺北市,松山,39,,良好,3.8,0.52,13,19,,16,3,22.1,6.43,2016-05-22 08:00
臺北市,古亭,37,,良好,2.3,0.64,7.3,32,21,14,2,29.05,14.95,2016-05-22 08:00
臺北市,萬華,40,,良好,2.5,0.59,11,32,18,17,2,25.01,8.14,2016-05-22 08:00
臺北市,中山,46,,良好,3.5,0.54,15,35,27,19,3,25.35,6.68,2016-05-22 08:00
臺北市,士林,33,,良好,3.1,0.39,21,29,,8,,10.81,2.8,2016-05-22 08:00
臺北市,陽明,26,,良好,1.9,0.17,31,13,13,1.6,1,2.22,0.62,2016-05-22 09:00
臺北市,大同,52,懸浮微粒,普通,9.5,1.7,,55,26,32,2,82.69,50.8,2016-05-22 09:00
臺北市,松山,36,,良好,6.1,0.56,14,37,25,19,3,24.75,5.7,2016-05-22 09:00
臺北市,古亭,36,,良好,4.1,0.76,6.5,35,18,18,2,37.18,18.69,2016-05-22 09:00
臺北市,萬華,39,,良好,5.4,0.57,13,36,20,24,2,34.33,10.65,2016-05-22 09:00
臺北市,中山,44,,良好,6.6,0.54,16,33,,22,3,27.73,5.9,2016-05-22 09:00
臺北市,士林,33,,良好,3.3,0.44,21,30,21,9.7,3,12.61,2.92,2016-05-22 09:00
臺北市,陽明,23,,良好,1.9,0.17,28,12,10,3.5,1,4.54,1.04,2016-05-22 10:00
臺北市,大同,52,懸浮微粒,普通,7.8,1.91,,54,27,33,3,96.01,63.52,2016-05-22 10:00
臺北市,松山,36,,良好,4.3,0.57,13,39,30,20,3,28.4,8.22,2016-05-22 10:00
臺北市,古亭,36,,良好,5.1,0.7,7.7,37,20,20,2,35.64,15.74,2016-05-22 10:00
臺北市,萬華,38,,良好,3.9,0.57,11,38,17,25,2,36.6,11.66,2016-05-22 10:00
臺北市,中山,42,,良好,5.7,0.66,13,37,24,24,3,34.07,10.01,2016-05-22 10:00
臺北市,士林,33,,良好,4.1,0.56,18,34,15,16,2,19.7,4.08,2016-05-22 10:00
臺北市,陽明,26,,良好,2,0.15,32,7,5,3.9,1,4.8,0.91,2016-05-22 11:00
臺北市,大同,52,懸浮微粒,普通,4.5,0.92,,48,19,26,3,57.79,31.98,2016-05-22 11:00
臺北市,松山,37,,良好,3.6,0.43,18,42,21,13,3,19.1,5.73,2016-05-22 11:00
臺北市,古亭,34,,良好,3.8,0.61,16,28,17,20,2,29.68,9.52,2016-05-22 11:00
臺北市,萬華,39,,良好,3.4,0.63,10,40,21,26,2,43.18,17.15,2016-05-22 11:00
臺北市,中山,41,,良好,2.9,0.66,14,41,28,20,3,31.98,11.56,2016-05-22 11:00
臺北市,士林,34,,良好,4,0.66,13,40,1,23,2,32.67,9.61,2016-05-22 11:00
臺北市,陽明,27,,良好,1.9,0.15,33,12,8,3.3,1,4.34,1.01,2016-05-22 12:00
臺北市,大同,50,,良好,2.8,0.76,,40,17,21,2,42.8,22.1,2016-05-22 12:00
臺北市,松山,37,,良好,2.2,0.41,21,26,18,13,3,17.92,5.08,2016-05-22 12:00
臺北市,古亭,33,,良好,2.5,0.54,19,30,14,18,2,26.2,8.49,2016-05-22 12:00
臺北市,萬華,38,,良好,1.5,0.44,16,33,22,20,2,31.51,11.67,2016-05-22 12:00
臺北市,中山,41,,良好,1.7,0.6,17,43,24,19,3,30.07,11.07,2016-05-22 12:00
臺北市,士林,34,,良好,3.8,0.4,24,36,1,13,2,17.73,5.1,2016-05-22 12:00
臺北市,陽明,30,,良好,1.8,0.13,36,5,3,1.4,1,1.8,0.42,2016-05-22 14:00
臺北市,大同,43,,良好,3.8,0.66,,35,12,23,2,40.47,17.6,2016-05-22 14:00
臺北市,松山,29,,良好,4,0.28,26,12,7,12,2,15.6,3.68,2016-05-22 14:00
臺北市,古亭,28,,良好,9.3,0.31,26,18,6,16,2,21.23,5.37,2016-05-22 14:00
臺北市,萬華,34,,良好,5.1,0.35,23,24,11,21,2,28.39,7.69,2016-05-22 14:00
臺北市,中山,38,,良好,3.4,0.55,20,32,14,23,2,31.71,8.78,2016-05-22 14:00
臺北市,士林,33,,良好,3.3,0.47,28,29,1,14,1,16.89,3.19,2016-05-22 14:00
臺北市,陽明,28,,良好,1.8,0.13,33,11,5,1.2,1,1.7,0.49,2016-05-22 15:00
臺北市,大同,41,,良好,3.4,0.87,,35,16,25,2,51.5,26.75,2016-05-22 15:00
臺北市,松山,24,,良好,9.5,0.24,22,15,11,13,2,18.42,5.4,2016-05-22 15:00
臺北市,古亭,26,,良好,7.4,0.29,23,21,8,15,2,20.11,5.08,2016-05-22 15:00
臺北市,中山,35,,良好,3.3,0.43,21,25,12,17,2,23.57,6.92,2016-05-22 15:00
臺北市,士林,32,,良好,2.2,0.21,30,29,1,6.2,1,8.76,2.6,2016-05-22 15:00
臺北市,萬華,32,,良好,5.1,0.35,23,24,11,21,2,28.39,7.69,2016-05-22 14:00
臺北市,陽明,25,,良好,0.9,0.12,30,,0,1,1,1.68,0.68,2016-05-22 16:00
臺北市,大同,40,,良好,4.9,0.82,,34,16,23,2,46.31,23.51,2016-05-22 16:00
臺北市,松山,22,,良好,13,0.28,17,17,12,16,2,21.91,5.57,2016-05-22 16:00
臺北市,古亭,25,,良好,7.2,0.33,20,22,8,17,1,21.96,5.08,2016-05-22 16:00
