縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
臺南市,安南,43,,良好,2.8,0.25,29,43,24,11,2,15.07,4.09,2017-04-20 10:00
臺南市,善化,41,,良好,4,0.41,30,49,23,18,2,23.85,5.44,2017-04-20 10:00
臺南市,新營,42,,良好,4,0.4,26,44,28,13,2,16.61,3.92,2017-04-20 10:00
臺南市,臺南,32,,良好,2.8,0.24,34,39,21,9.8,2,13.34,3.58,2017-04-20 10:00
臺南市,安南,43,,良好,2.4,0.21,42,45,13,7.3,2,9.41,2.16,2017-04-20 11:00
臺南市,善化,42,,良好,2.2,0.2,35,44,31,7.4,2,10.73,3.3,2017-04-20 11:00
臺南市,新營,41,,良好,3.2,0.26,,42,24,7.6,2,9.76,2.14,2017-04-20 11:00
臺南市,臺南,35,,良好,1.9,0.24,42,33,16,7.7,2,9.99,2.28,2017-04-20 11:00
臺南市,安南,43,,良好,2.5,0.2,40,38,14,6.5,2,8.04,1.54,2017-04-20 12:00
臺南市,善化,41,,良好,2.2,0.18,37,33,20,5.6,2,8.09,2.46,2017-04-20 12:00
臺南市,新營,42,,良好,3.2,0.26,,50,26,7.9,2,9.89,2.02,2017-04-20 12:00
臺南市,臺南,36,,良好,2.2,0.26,44,28,17,7.8,2,10.1,2.34,2017-04-20 12:00
臺南市,安南,42,,良好,1.8,0.17,41,47,11,3.7,2,4.73,1.09,2017-04-20 13:00
臺南市,善化,39,,良好,2,0.17,36,28,24,4.5,2,6.7,2.26,2017-04-20 13:00
臺南市,新營,44,,良好,2.6,0.26,34,50,21,7.2,2,8.99,1.78,2017-04-20 13:00
臺南市,臺南,35,,良好,1.7,0.24,42,24,19,5.7,2,7.58,1.93,2017-04-20 13:00
臺南市,安南,42,,良好,1.6,0.17,40,40,17,3.5,2,4.47,1.01,2017-04-20 14:00
臺南市,善化,37,,良好,2,0.17,36,28,24,4.5,2,6.7,2.26,2017-04-20 13:00
臺南市,新營,45,,良好,,,30,45,21,,2,,,2017-04-20 14:00
臺南市,臺南,36,,良好,1.7,0.24,43,21,,5.3,2,7.39,2.1,2017-04-20 14:00
臺南市,安南,41,,良好,1.2,0.15,32,39,22,3.7,2,5.09,1.44,2017-04-20 15:00
臺南市,善化,36,,良好,1,0.12,27,40,23,3.7,2,6.09,2.38,2017-04-20 15:00
臺南市,新營,42,,良好,,,24,25,4,,2,,,2017-04-20 15:00
臺南市,臺南,29,,良好,1.3,0.2,35,20,,5,,7.15,2.17,2017-04-20 15:00
臺南市,安南,41,,良好,1.2,0.15,32,39,22,3.7,2,5.09,1.44,2017-04-20 15:00
臺南市,善化,36,,良好,1,0.12,27,40,23,3.7,2,6.09,2.38,2017-04-20 15:00
臺南市,新營,42,,良好,,,24,25,4,,2,,,2017-04-20 15:00
臺南市,臺南,29,,良好,1.3,0.2,35,20,,5,,7.15,2.17,2017-04-20 15:00
臺南市,安南,41,,良好,1.1,0.17,24,43,19,4.8,2,6.07,1.26,2017-04-20 17:00
臺南市,善化,37,,良好,1,0.15,21,25,18,6.4,2,8.96,2.6,2017-04-20 17:00
臺南市,新營,38,,良好,1.6,0.26,20,37,16,7.3,2,8.93,1.66,2017-04-20 17:00
臺南市,臺南,24,,良好,0.9,0.28,22,22,13,6.5,,9.27,2.82,2017-04-20 17:00
臺南市,安南,41,,良好,1.3,0.21,20,42,10,5.6,2,6.85,1.24,2017-04-20 18:00
臺南市,善化,35,,良好,0.8,0.2,18,24,14,7.8,2,10.08,2.31,2017-04-20 18:00
臺南市,新營,37,,良好,1.6,0.37,16,39,14,10,2,12.07,2.1,2017-04-20 18:00
臺南市,臺南,24,,良好,1.2,0.34,18,24,17,7.3,2,10.14,2.82,2017-04-20 18:00
臺南市,安南,42,,良好,1.2,0.25,16,42,17,7.8,2,8.8,1.01,2017-04-20 19:00
臺南市,善化,32,,良好,1,0.24,12,23,17,12,2,14.26,2.34,2017-04-20 19:00
臺南市,新營,38,,良好,2.1,0.3,13,38,16,10,2,12.04,1.7,2017-04-20 19:00
臺南市,臺南,25,,良好,0.9,0.29,17,24,14,7.5,2,9.68,2.15,2017-04-20 19:00
臺南市,安南,42,,良好,2,0.2,14,37,16,8.7,2,9.91,1.21,2017-04-20 20:00
臺南市,善化,30,,良好,1.1,0.21,8.3,28,22,13,2,15.41,2.59,2017-04-20 20:00
臺南市,新營,38,,良好,2.1,0.3,11,33,14,11,2,12.78,1.86,2017-04-20 20:00
臺南市,臺南,25,,良好,1.7,0.24,17,26,15,8.4,2,10.21,1.78,2017-04-20 20:00
