縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
連江縣,馬祖,21,,良好,2.3,0.41,25,3,10,5.7,1,6.79,1.14,2016-05-22 07:00
連江縣,馬祖,24,,良好,2.1,0.35,29,5,7,5.7,1,7.01,1.35,2016-05-22 08:00
連江縣,馬祖,24,,良好,2.3,0.3,29,5,3,7.1,1,9.5,2.42,2016-05-22 09:00
連江縣,馬祖,27,,良好,2.5,0.25,32,5,3,7.3,1,9.34,2.05,2016-05-22 10:00
連江縣,馬祖,32,,良好,3,0.23,38,5,4,7,1,9.1,2.11,2016-05-22 11:00
連江縣,馬祖,36,,良好,1.9,0.2,44,7,4,4,1,4.71,0.71,2016-05-22 12:00
連江縣,馬祖,37,,良好,2,0.2,44,29,15,6.1,1,7.34,1.28,2016-05-22 14:00
連江縣,馬祖,38,,良好,2,0.21,46,27,16,4.6,1,5.85,1.21,2016-05-22 15:00
連江縣,馬祖,37,,良好,2,0.21,45,25,17,4.7,2,6.4,1.7,2016-05-22 16:00
連江縣,馬祖,36,,良好,2.2,0.2,44,27,15,6.3,2,7.09,0.83,2016-05-22 17:00
連江縣,馬祖,37,,良好,2,0.2,45,29,19,6.4,2,8.25,1.88,2016-05-22 18:00
連江縣,馬祖,36,,良好,2.1,0.2,43,34,22,7.9,2,8.89,1.03,2016-05-22 19:00
連江縣,馬祖,32,,良好,2.2,0.19,38,30,19,8.7,2,9.43,0.76,2016-05-22 20:00
連江縣,馬祖,34,,良好,2,0.18,41,24,16,6.4,2,7.38,1,2016-05-22 21:00
連江縣,馬祖,34,,良好,2.3,0.17,41,22,13,5.1,2,6.52,1.45,2016-05-22 22:00
連江縣,馬祖,34,,良好,2.2,0.17,41,27,14,4.9,2,5.11,0.19,2016-05-22 23:00
連江縣,馬祖,36,,良好,2.2,0.16,43,29,13,3.8,2,4.19,0.39,2016-05-23 00:00
連江縣,馬祖,36,,良好,1.8,0.16,44,29,12,3.1,2,3.57,0.51,2016-05-23 01:00
連江縣,馬祖,36,,良好,1.7,0.17,43,29,15,3.5,2,4.09,0.55,2016-05-23 02:00
連江縣,馬祖,35,,良好,2.2,0.19,42,40,17,6.1,2,6.96,0.85,2016-05-23 03:00
連江縣,馬祖,43,,良好,1.7,0.22,52,44,22,5.7,2,6.72,1.06,2016-05-23 04:00
連江縣,馬祖,49,,良好,1.6,0.26,59,46,26,5,2,6.08,1.06,2016-05-23 05:00
連江縣,馬祖,53,臭氧,普通,1.9,0.3,63,57,30,5.4,2,7,1.62,2016-05-23 06:00
連江縣,馬祖,51,臭氧,普通,2.4,0.34,61,61,34,6.9,3,8.25,1.39,2016-05-23 07:00
連江縣,馬祖,49,,良好,2,0.38,59,63,38,7.6,3,9.93,2.29,2016-05-23 08:00
連江縣,馬祖,51,懸浮微粒,普通,2.2,0.39,57,65,40,9,3,10.83,1.79,2016-05-23 09:00
連江縣,馬祖,52,懸浮微粒,普通,2.3,0.41,59,66,43,9.1,3,11.12,2.01,2016-05-23 10:00
連江縣,馬祖,54,懸浮微粒,普通,2.3,0.41,62,69,44,9.1,3,11.21,2.12,2016-05-23 11:00
連江縣,馬祖,56,臭氧,普通,2,0.43,67,70,44,8,4,9.76,1.8,2016-05-23 12:00
連江縣,馬祖,57,臭氧,普通,1.9,0.41,68,70,45,7.7,4,9.57,1.84,2016-05-23 13:00
連江縣,馬祖,58,臭氧,普通,1.8,0.4,69,69,41,7.6,4,9.86,2.23,2016-05-23 14:00
連江縣,馬祖,57,懸浮微粒,普通,1.9,0.36,67,58,35,7.1,4,8.42,1.35,2016-05-23 15:00
連江縣,馬祖,56,懸浮微粒,普通,1.9,0.35,65,47,36,7.6,4,8.94,1.32,2016-05-23 16:00
連江縣,馬祖,56,懸浮微粒,普通,1.9,0.35,65,47,36,7.6,4,8.94,1.32,2016-05-23 16:00
連江縣,馬祖,54,臭氧,普通,1.8,0.34,65,50,35,9.1,4,11.09,1.95,2016-05-23 17:00
連江縣,馬祖,53,懸浮微粒,普通,1.7,0.38,53,50,27,12,4,14.08,2.45,2016-05-23 18:00
連江縣,馬祖,52,懸浮微粒,普通,1.6,0.35,54,42,27,9,3,10.76,1.78,2016-05-23 19:00
連江縣,馬祖,56,臭氧,普通,1.8,0.35,68,49,34,8.6,3,10.21,1.58,2016-05-23 20:00
連江縣,馬祖,52,臭氧,普通,2.5,0.33,63,60,45,10,4,12.23,2.04,2016-05-23 22:00
連江縣,馬祖,55,臭氧,普通,2.1,0.35,66,59,42,8.6,4,10.19,1.64,2016-05-23 23:00
連江縣,馬祖,54,臭氧,普通,2.2,0.34,65,69,46,9.3,4,10.32,1.06,2016-05-24 00:00
連江縣,馬祖,54,臭氧,普通,2.2,0.34,65,69,46,9.3,4,10.32,1.06,2016-05-24 00:00
連江縣,馬祖,56,懸浮微粒,普通,3,0.3,56,64,44,8,5,9.26,1.31,2016-05-24 02:00
連江縣,馬祖,56,懸浮微粒,普通,2.5,0.3,51,60,44,6.3,5,7.65,1.31,2016-05-24 03:00
連江縣,馬祖,56,懸浮微粒,普通,2,0.3,55,60,39,6.1,5,6.11,.02,2016-05-24 04:00
連江縣,馬祖,54,懸浮微粒,普通,2.2,0.4,51,56,35,5.7,4,6.05,.31,2016-05-24 05:00
連江縣,馬祖,54,懸浮微粒,普通,2.7,0.42,40,56,36,6,4,6.37,.39,2016-05-24 06:00
連江縣,馬祖,54,懸浮微粒,普通,3.3,0.41,39,57,41,8.8,4,10.12,1.36,2016-05-24 07:00
連江縣,馬祖,54,懸浮微粒,普通,2.6,0.38,44,59,41,9.9,4,12.53,2.66,2016-05-24 08:00
連江縣,馬祖,54,懸浮微粒,普通,2.2,0.35,52,51,33,8.5,4,10.47,1.99,2016-05-24 09:00
連江縣,馬祖,54,懸浮微粒,普通,2.9,0.38,56,53,34,10,4,12.19,1.73,2016-05-24 10:00
連江縣,馬祖,53,懸浮微粒,普通,2.7,0.31,60,52,37,9.2,4,11.03,1.83,2016-05-24 11:00
連江縣,馬祖,54,臭氧,普通,2.3,0.28,64,46,33,7.8,4,9.35,1.58,2016-05-24 12:00
連江縣,馬祖,50,,良好,1.8,0.27,50,37,26,6.9,3,8.04,1.11,2016-05-24 13:00
連江縣,馬祖,48,,良好,2,0.22,58,32,22,5.7,3,6.66,1,2016-05-24 14:00
連江縣,馬祖,55,臭氧,普通,2.3,0.22,66,37,23,6.1,3,7.29,1.21,2016-05-24 15:00
連江縣,馬祖,51,臭氧,普通,2.1,0.25,61,36,24,7.5,3,8.72,1.19,2016-05-24 16:00
連江縣,馬祖,41,,良好,1.9,0.22,50,32,20,9,3,10.88,1.91,2016-05-24 17:00
連江縣,馬祖,52,臭氧,普通,2.4,0.3,63,34,22,9.1,3,10.91,1.77,2016-05-24 18:00
連江縣,馬祖,64,臭氧,普通,2.8,0.36,77,50,35,9.2,3,9.98,.76,2016-05-24 19:00
連江縣,馬祖,68,臭氧,普通,2.7,0.4,81,69,48,8,3,8.93,.89,2016-05-24 20:00
連江縣,馬祖,62,臭氧,普通,2.3,0.38,75,74,53,7,3,8.28,1.26,2016-05-24 21:00
連江縣,馬祖,54,懸浮微粒,普通,2.8,0.41,,84,56,7.7,4,8.98,1.29,2016-05-24 22:00
連江縣,馬祖,66,臭氧,普通,3,0.46,79,104,65,8.9,5,9.91,1.05,2016-05-24 23:00
