縣市 ,測站名稱 ,空氣污染指標 ,指標污染物, 狀態 ,二氧化硫濃度 ,一氧化碳濃度 ,臭氧濃度 ,懸浮微粒濃度 ,細懸浮微粒濃度 ,二氧化氮濃度 ,細懸浮微粒指標 ,氮氧化物 ,一氧化氮 ,發佈時間
金門縣,金門,14,,良好,3.7,0.36,17,17,2,11,1,13.23,1.9,2016-05-22 07:00
金門縣,金門,15,,良好,3.4,0.38,18,15,2,11,1,12.89,2.12,2016-05-22 08:00
金門縣,金門,16,,良好,3.7,0.41,19,14,4,11,1,14.07,3.24,2016-05-22 09:00
金門縣,金門,19,,良好,3.7,0.4,23,16,7,8.8,1,12.79,3.96,2016-05-22 10:00
金門縣,金門,21,,良好,4.4,0.4,26,19,8,8.9,1,11.33,2.46,2016-05-22 11:00
金門縣,金門,25,,良好,2.4,0.38,30,17,7,7.9,1,9.71,1.78,2016-05-22 12:00
金門縣,金門,28,,良好,3.1,0.34,33,17,5,6.4,1,8.23,1.87,2016-05-22 14:00
金門縣,金門,29,,良好,3.6,0.35,35,25,6,7.1,1,9.56,2.5,2016-05-22 15:00
金門縣,金門,28,,良好,3.3,0.33,33,23,8,6.7,1,8.7,1.97,2016-05-22 16:00
金門縣,金門,24,,良好,4.4,0.38,29,22,9,10,1,12.12,1.64,2016-05-22 17:00
金門縣,金門,24,,良好,4.9,0.39,28,25,8,13,1,14.08,1.52,2016-05-22 18:00
金門縣,金門,23,,良好,4.3,0.35,27,26,10,11,1,12.86,1.42,2016-05-22 19:00
金門縣,金門,23,,良好,4,0.35,27,30,18,10,1,11.37,1.32,2016-05-22 20:00
金門縣,金門,26,,良好,3.4,0.38,16,34,20,20,2,21.59,1.54,2016-05-22 21:00
金門縣,金門,29,,良好,4.1,0.4,6.4,43,23,30,2,33.34,3.61,2016-05-22 22:00
金門縣,金門,33,,良好,5.2,0.36,16,49,22,16,2,17.23,1.5,2016-05-22 23:00
金門縣,金門,36,,良好,4.3,0.3,16,42,19,15,2,16.14,1.56,2016-05-23 00:00
金門縣,金門,37,,良好,4.7,0.28,20,36,17,11,2,11.98,1.37,2016-05-23 01:00
金門縣,金門,36,,良好,3.2,0.25,24,32,14,7.6,2,8.69,1.08,2016-05-23 02:00
金門縣,金門,33,,良好,3.6,0.24,24,27,16,6.6,2,7.84,1.27,2016-05-23 03:00
金門縣,金門,32,,良好,4.8,0.25,23,28,19,6.4,2,7.25,0.85,2016-05-23 04:00
金門縣,金門,32,,良好,5.9,0.27,17,31,21,10,2,10.75,0.77,2016-05-23 05:00
金門縣,金門,33,,良好,6.5,0.26,12,39,18,18,2,19.51,1.68,2016-05-23 06:00
金門縣,金門,35,,良好,5.3,0.28,21,41,15,8.4,2,9.31,0.95,2016-05-23 07:00
金門縣,金門,36,,良好,4.3,0.32,21,33,18,9.6,2,11.15,1.59,2016-05-23 08:00
金門縣,金門,36,,良好,3.2,0.29,25,30,18,8.3,2,10.03,1.75,2016-05-23 09:00
金門縣,金門,34,,良好,3.7,0.27,27,30,14,6.7,2,8.76,2.03,2016-05-23 10:00
金門縣,金門,32,,良好,4.7,0.3,29,28,15,7.5,2,9.65,2.12,2016-05-23 11:00
金門縣,金門,31,,良好,3.2,0.28,37,29,18,6.9,2,8.96,2.04,2016-05-23 12:00
金門縣,金門,36,,良好,3.2,0.3,43,35,18,6.4,2,7.88,1.5,2016-05-23 13:00
金門縣,金門,37,,良好,3.4,0.28,45,41,18,6.1,2,7.16,1.08,2016-05-23 14:00
金門縣,金門,41,,良好,3.3,0.29,50,40,19,5.8,2,6.9,1.08,2016-05-23 15:00
金門縣,金門,43,,良好,4.5,0.29,52,38,19,6,2,6.96,0.94,2016-05-23 16:00
金門縣,金門,43,,良好,4.5,0.29,52,38,19,6,2,6.96,0.94,2016-05-23 16:00
金門縣,金門,43,,良好,3.5,0.31,51,37,21,6.4,2,7.45,1.07,2016-05-23 17:00
金門縣,金門,36,,良好,3.4,0.39,43,34,19,9.2,2,10.33,1.17,2016-05-23 18:00
金門縣,金門,35,,良好,4.2,0.43,35,32,13,13,2,14.18,0.83,2016-05-23 19:00
金門縣,金門,34,,良好,3.5,0.41,32,32,8,13,2,13.76,0.99,2016-05-23 20:00
金門縣,金門,31,,良好,3.4,0.3,33,23,10,8.5,2,9.28,0.77,2016-05-23 22:00
金門縣,金門,30,,良好,3.1,0.28,32,25,10,7.8,2,8.56,.71,2016-05-23 23:00
金門縣,金門,29,,良好,4.2,0.26,31,26,10,8,2,8.89,.88,2016-05-24 00:00
金門縣,金門,29,,良好,4.2,0.26,31,26,10,8,2,8.89,.88,2016-05-24 00:00
金門縣,金門,0,,,3.9,0.27,28,,18,7.1,2,7.86,.76,2016-05-24 02:00
金門縣,金門,0,,,3.5,0.24,28,31,16,5.2,2,5.92,.76,2016-05-24 03:00
金門縣,金門,0,,,9.1,0.31,23,33,19,9.8,2,10.96,1.16,2016-05-24 04:00
金門縣,金門,33,,良好,7.2,0.34,13,42,26,18,2,19.58,1.11,2016-05-24 05:00
金門縣,金門,35,,良好,6,0.4,10,49,28,19,2,20.11,1.36,2016-05-24 06:00
金門縣,金門,40,,良好,6.1,0.36,12,55,31,17,2,20.66,3.36,2016-05-24 07:00
金門縣,金門,46,,良好,11,0.35,16,67,34,18,3,25.43,7.22,2016-05-24 08:00
金門縣,金門,52,懸浮微粒,普通,11,0.49,26,90,35,13,3,17.94,5.17,2016-05-24 09:00
金門縣,金門,57,懸浮微粒,普通,9.7,0.43,28,94,39,14,3,17.25,3.26,2016-05-24 10:00
金門縣,金門,60,懸浮微粒,普通,10,0.42,33,78,37,17,3,20.96,4.26,2016-05-24 11:00
